County,White,Black,Asian,AIAN,NHPI,Hispanic
"Black Hawk County, Iowa",1103,560,372,-,55,522
"Linn County, Iowa",560,272,38,7,17,48
"Douglas County, Nebraska",1064,450,819,-,-,3181
"Lancaster/Lincoln Counties, Nebraska",476,110,409,16,-,440
"Adams County, Colorado",770,142,123,-,-,2442
"Arapahoe County, Colorado",1578,686,347,-,-,2135
"Denver County, Colorado",1588,643,214,44,25,3661
"Douglas County, Colorado",-,-,-,-,-,-
"Garfield County, Colorado",-,-,-,-,-,85
"Summit County, Colorado",100,5,-,-,-,158
"Bell County, Texas",259,128,7,0,6,131
"Brazos County, Texas",177,80,-,-,-,362
"Chambers County, Texas",69,4,1,-,-,46
"Harris County, Texas",2618,2897,455,7,-,5541
"Taylor County, Texas",88,55,24,1,1,46
"Travis County, Texas",3104,287,110,-,-,2682
"Williamson County, Texas",590,72,24,-,-,384
"Apache County, Arizona",6626,1009,328,4045,-,9572
"Cochise County, Arizona",43,4,1,0,-,101
"Coconino County, Arizona",158,13,-,832,-,53
"Gila County, Arizona",24,-,-,15,-,15
"Graham County, Arizona",20,1,-,3,-,2
"Greenlee County, Arizona",1,-,-,-,-,5
"La Paz County, Arizona",9,-,0,122,0,27
"Maricopa County, Arizona",3874,775,194,775,194,4843
"Mohave County, Arizona",198,0,6,87,6,37
"Navajo County, Arizona",105,0,-,"1,397",-,26
"Pima County, Arizona","1,104",118,39,118,39,39
"Pinal County, Arizona",361,78,16,94,16,502
"Santa Cruz County, Arizona",207,-,-,-,-,267
"Yavapai County, Arizona",176,4,0,15,0,52
"Yuma County, Arizona",261,33,0,33,0,"2,122"
"Blaine County, Idaho",-,-,-,-,-,-
"Camas County, Idaho",-,-,-,-,-,-
"Cassia County, Idaho",-,-,-,-,-,-
"Gooding County, Idaho",-,-,-,-,-,-
"Kootenai County, Idaho",-,-,-,-,-,-
"Lincoln County, Idaho",-,-,-,-,-,-
"Minidoka County, Idaho",-,-,-,-,-,-
"Twin Falls County, Idaho",-,-,-,-,-,-
"Clark County, Nevada",1882,834,759,13,-,3122
"Salt Lake County, Utah",555,1468,515,552,"2,149","2,068"
"Clackamas County, Oregon",,,-,,,
"Lane County, Oregon",44,<5,-,<5,-,51
"Marion County, Oregon",191,8,8,21,45,419
"Multnomah County, Oregon",585,158,144,21,48,421
"Washington County, Oregon",285,24,40,14,13,463
"Yamhill County, Oregon",39,1,-,-,-,33
"Douglas County, Washington",-,-,-,-,-,383
"King County, Washington","3,397",913,"1,009",480,200,"2,035"
"Pierce County, Washington",834,179,108,32,100,359
"Snohomish County, Washington",680,"1,256",743,"1,320","1,576","1,653"
"Thurston County, Washington",157,30,4,0,0,36
"Whatcom County, Washington",291,9,22,45,22,103
"Alameda County, California",464,355,565,<10,24,"2,100"
"Contra Costa County, California",470,137,196,-,-,-
"Fresno County, California",111,104,79,-,-,248
"Kern County, California",458,101,110,-,-,"2,218"
"Los Angeles County, California","7,116","2,399","3,453",62,311,"24,681"
"Marin County, California",164,4,30,0,2,435
"Monterey County, California",51,5,17,-,-,813
"Napa County, California",50,-,-,-,-,105
"Orange County, California",1459,108,721,0,0,3375
"Riverside County, California",1352,1861,1933,1582,-,3426
"Sacramento County, California",680,167,184,-,60,342
"San Benito County, California",23,-,4,-,-,97
"San Bernardino County, California",2043,361,255,30,35,"2,772"
"San Diego County, California",1620,283,502,13,62,"5,268"
"San Francisco County, California",1638,293,359,15,35,1446
"San Joaquin County, California",227,76,166,-,10,829
"San Mateo County, California",391,24,385,2,-,1215
"Santa Clara County, California",510,65,575,-,32,1376
"Santa Cruz County, California",107,-,-,-,-,143
"Sonoma County, California",126,-,17,-,17,503
"Stanislaus County, California",249,25,50,0,13,657
"Ventura County, California",437,8,59,9,,4005
"Kent County, Delaware",-,-,-,-,-,-
"New Castle County, Delaware",-,-,-,-,-,-
"Sussex County, Delaware",-,-,-,-,-,-
"Cumberland County, Maine",-,-,-,-,-,-
"Allegany County, Maryland",163,12,-,-,-,-
"Anne Arundel County, Maryland",1665,1064,139,-,-,1757
"Baltimore city, Maryland",810,2834,68,-,-,608
"Howard County, Maryland",381,426,178,-,-,-
"Prince George's County, Maryland",-,-,-,-,-,-
"St. Mary's County, Maryland",272,221,-,-,-,-
Chattanooga-Hamilton,670,159,13,-,-,1256
"Davidson County, Tennessee",2109,828,302,-,-,-
"Jackson County, Tennessee",54,114,5,-,-,2
"Knox County, Tennessee",433,40,-,-,15,200
"Madison County, Tennessee",54,114,5,-,-,2
"Ocean County, New Jersey",5183,365,177,3,11,829
"Albany County, New York",883,419,174,-,-,147
"Chautauqua County, New York",-,-,-,-,-,-
"New York City, New York",-,-,-,-,-,-
"Schenectady County, New York",321,107,54,0,-,81
"Tompkins County, New York",-,-,-,-,-,-
"Boone County, Kentucky",319,37,11,-,-,141
"Campbell County, Kentucky",120,14,4,-,-,53
"Grant County, Kentucky",31,4,1,-,-,14
"Kenton County, Kentucky",413,47,14,-,-,183
